Gene_ID,RAS_61486_ctrl BR input,RAS_61487_ctrl BR IP biol rep1,RAS_61488_ctrl BR IP biol rep2,RAS_61489_icKO BR input,RAS_61490_cKO BR IP biol rep1,RAS_61491_icKO BR IP biol rep2
Xkr4,932.0,800,958,974.0,814,806
Rp1,0.0,8,1,2.0,0,4
Sox17,64.0,26,42,36.0,25,19
Mrpl15,476.0,328,425,427.0,331,325
Lypla1,478.0,225,264,421.0,173,182
Tcea1,1706.0,1267,1382,1518.0,948,886
Rgs20,808.0,339,365,842.0,275,272
Atp6v1h,2430.0,1229,1406,2070.0,1050,1007
Oprk1,182.0,77,97,179.0,108,119
Npbwr1,14.0,2,4,15.0,7,1
Rb1cc1,3237.0,3244,3862,3080.0,3359,3176
Fam150a,1.0,2,0,3.0,0,0
St18,270.0,1094,1280,246.0,772,756
Pcmtd1,2355.0,1872,2080,2112.0,1743,1485
Sntg1,818.0,814,875,687.0,757,787
Rrs1,623.0,625,772,530.0,545,584
Adhfe1,187.0,153,167,176.0,142,199
2610203C22Rik,3.0,8,3,4.0,9,8
3110035E14Rik,5981.0,6307,7132,5621.0,4745,4498
Mybl1,102.0,148,195,115.0,136,132
Vcpip1,2221.0,1528,1931,2235.0,1389,1314
1700034P13Rik,23.0,18,10,16.0,16,11
Sgk3,396.0,733,906,321.0,833,731
Mcmdc2,21.0,39,60,19.0,88,54
Snhg6,114.0,80,77,87.0,72,57
Snord87,0.0,0,0,0.0,0,0
Tcf24,2.0,6,1,2.0,10,7
Ppp1r42,12.0,10,9,11.0,21,13
Cops5,1027.0,1002,1036,1001.0,769,689
Cspp1,542.0,1299,1510,537.0,1744,1674
Arfgef1,3337.0,3695,4291,3009.0,3536,3364
Cpa6,4.0,7,6,14.0,9,13
Mir467e,0.0,1,0,0.0,0,0
Prex2,2704.0,2013,2210,2387.0,2124,2000
A830018L16Rik,1988.0,604,701,1494.0,616,641
Mir6341,0.0,0,0,0.0,0,0
Gm17644,0.0,0,0,0.0,0,0
Sulf1,717.0,1010,1204,757.0,871,928
Slco5a1,97.0,153,193,139.0,204,182
Prdm14,0.0,0,0,0.0,0,1
Ncoa2,4047.0,4604,5321,3936.0,4326,3933
Tram1,577.0,686,791,540.0,492,461
Lactb2,276.0,313,330,184.0,286,288
Xkr9,1.0,0,0,1.0,0,0
Gm5523,0.0,0,0,0.0,0,2
Eya1,191.0,707,899,213.0,486,478
Msc,11.0,17,12,30.0,9,11
Trpa1,4.0,1,2,3.0,2,0
Kcnb2,700.0,463,370,575.0,452,427
Terf1,197.0,412,408,180.0,414,439
Sbspon,2.0,16,19,2.0,7,10
4930444P10Rik,5.0,16,35,12.0,22,15
Rpl7,4380.0,3058,3628,3576.0,2147,2056
Rdh10,154.0,193,222,122.0,168,162
Stau2,2250.0,837,973,2095.0,872,800
Ube2w,726.0,356,387,693.0,333,353
Tceb1,522.0,222,254,482.0,179,193
D030040B21Rik,0.0,0,0,0.0,1,0
Tmem70,577.0,259,260,553.0,180,189
Ly96,4.0,7,6,7.0,15,3
Jph1,632.0,499,522,567.0,463,410
Gdap1,1712.0,891,1092,1772.0,987,890
Pi15,0.0,2,6,5.0,1,3
Gm16070,5.0,8,15,9.0,25,8
Crispld1,157.0,128,129,165.0,146,114
Crisp4,0.0,0,0,0.0,0,0
Defb44-ps,0.0,0,0,0.0,0,0
Defb18,0.0,0,0,0.0,0,0
Defb41,0.0,0,0,0.0,0,0
Gm15386,0.0,0,0,0.0,0,1
Tfap2d,38.0,8,9,39.0,9,20
Tfap2b,29.0,16,16,34.0,19,13
Pkhd1,2.0,1,7,2.0,8,14
4930486I03Rik,1.0,0,0,1.0,0,0
Linc-md1,0.0,0,1,0.0,0,0
Mir206,0.0,0,0,0.0,0,0
Mir133b,0.0,0,0,0.0,0,0
Il17a,0.0,0,0,0.0,0,0
Il17f,0.0,2,0,0.0,0,0
Mcm3,89.0,399,495,77.0,385,349
6720483E21Rik,0.0,2,15,5.0,14,11
Paqr8,1991.0,1279,1593,2053.0,1091,1021
Efhc1,32.0,28,47,35.0,44,23
Tram2,6.0,35,42,5.0,12,21
Tmem14a,228.0,129,101,218.0,84,90
Gsta3,17.0,29,30,21.0,54,36
Gm4956,0.0,0,1,0.0,0,0
Khdc1a,0.0,0,1,0.0,0,0
Khdc1c,0.0,0,0,0.0,0,0
Khdc1b,0.0,0,0,0.0,0,0
Kcnq5,2789.0,1138,1261,2587.0,1198,1148
Rims1,9669.0,5110,6045,9419.0,5592,5553
4933415F23Rik,0.0,0,0,0.0,0,0
Mir30a,0.0,0,3,0.0,1,0
Mir30c-2,4.0,20,5,4.0,10,22
Ogfrl1,2993.0,843,988,2833.0,922,862
B3gat2,232.0,991,1116,212.0,594,592
Smap1,1910.0,1466,1846,1953.0,1273,1309
Sdhaf4,153.0,72,77,129.0,41,43
Fam135a,727.0,1084,1242,710.0,1220,1204
Col9a1,13.0,48,45,10.0,41,44
Col19a1,514.0,621,741,492.0,820,832
Lmbrd1,2675.0,2737,3099,2480.0,1939,1968
Adgrb3,2967.0,2507,3022,2563.0,2967,2867
Gm20172,9.0,34,43,12.0,58,75
4931408C20Rik,0.0,0,0,0.0,0,0
Gm597,0.0,0,0,0.0,0,0
Mir6342,0.0,0,0,0.0,0,0
Phf3,3129.0,4573,5183,2968.0,4330,3903
Ptp4a1,98.0,203,200,102.0,118,108
Gm13363,0.0,0,0,0.0,0,0
4931428L18Rik,0.0,0,0,0.0,0,0
Lgsn,0.0,0,0,0.0,0,0
Pih1d3,0.0,0,0,0.0,0,0
Gm4850,0.0,0,0,0.0,0,0
Khdrbs2,305.0,516,565,252.0,519,455
Gm9839,0.0,2,2,0.0,1,0
Gm5415,0.0,1,0,0.0,0,0
Prim2,186.0,318,363,164.0,272,283
1700001G17Rik,7.0,2,2,9.0,0,7
